Procs,Terms,Variable,Total,MaxTime
1,50000,0.990000,100.000000,11.354199
2,50000,0.990000,100.000000,7.531749
3,50000,0.990000,100.000000,5.739705
4,50000,0.990000,100.000000,4.331504
5,50000,0.990000,100.000000,3.784993
6,50000,0.990000,100.000000,3.191807
7,50000,0.990000,100.000000,2.857573
8,50000,0.990000,100.000000,2.597925
9,50000,0.990000,100.000000,2.276113
10,50000,0.990000,100.000000,2.062699
11,50000,0.990000,100.000000,1.917916
12,50000,0.990000,100.000000,1.741707
13,50000,0.990000,100.000000,1.655035
14,50000,0.990000,100.000000,1.498155
15,50000,0.990000,100.000000,1.488497
16,50000,0.990000,100.000000,1.330141
1,75000,0.990000,100.000000,25.976155
2,75000,0.990000,100.000000,17.155477
3,75000,0.990000,100.000000,13.373101
4,75000,0.990000,100.000000,10.371487
5,75000,0.990000,100.000000,8.973377
6,75000,0.990000,100.000000,7.586280
7,75000,0.990000,100.000000,6.875110
8,75000,0.990000,100.000000,6.176652
9,75000,0.990000,100.000000,5.573558
10,75000,0.990000,100.000000,5.088186
11,75000,0.990000,100.000000,4.715388
12,75000,0.990000,100.000000,4.381902
13,75000,0.990000,100.000000,4.251700
14,75000,0.990000,100.000000,3.854868
15,75000,0.990000,100.000000,3.870123
16,75000,0.990000,100.000000,3.505299
1,100000,0.990000,100.000000,68.039857
2,100000,0.990000,100.000000,59.430692
3,100000,0.990000,100.000000,43.451323
4,100000,0.990000,100.000000,38.821077
5,100000,0.990000,100.000000,34.434047
6,100000,0.990000,100.000000,30.206988
7,100000,0.990000,100.000000,28.543315
8,100000,0.990000,100.000000,24.769913
9,100000,0.990000,100.000000,23.332292
10,100000,0.990000,100.000000,20.548650
11,100000,0.990000,100.000000,19.022334
12,100000,0.990000,100.000000,17.528839
13,100000,0.990000,100.000000,16.654068
14,100000,0.990000,100.000000,15.893016
15,100000,0.990000,100.000000,15.325569
16,100000,0.990000,100.000000,14.448863
