Procs,Terms,Variable,Total,Rank,Time
1,10000,0.990000,100.000000,0,0.553563
2,10000,0.990000,100.000000,0,0.154756
2,10000,0.990000,100.000000,1,0.420354
3,10000,0.990000,100.000000,0,0.079468
3,10000,0.990000,100.000000,1,0.188796
3,10000,0.990000,100.000000,2,0.317447
4,10000,0.990000,100.000000,0,0.042089
4,10000,0.990000,100.000000,1,0.130312
4,10000,0.990000,100.000000,2,0.196589
4,10000,0.990000,100.000000,3,0.263375
5,10000,0.990000,100.000000,0,0.028805
5,10000,0.990000,100.000000,1,0.097105
5,10000,0.990000,100.000000,2,0.136080
5,10000,0.990000,100.000000,3,0.173581
5,10000,0.990000,100.000000,4,0.221869
6,10000,0.990000,100.000000,0,0.022934
6,10000,0.990000,100.000000,1,0.068178
6,10000,0.990000,100.000000,2,0.102933
6,10000,0.990000,100.000000,3,0.132763
6,10000,0.990000,100.000000,4,0.163291
6,10000,0.990000,100.000000,5,0.192428
7,10000,0.990000,100.000000,0,0.015628
7,10000,0.990000,100.000000,1,0.053228
7,10000,0.990000,100.000000,2,0.080834
7,10000,0.990000,100.000000,3,0.100713
7,10000,0.990000,100.000000,4,0.126944
7,10000,0.990000,100.000000,5,0.149091
7,10000,0.990000,100.000000,6,0.165785
8,10000,0.990000,100.000000,0,0.011677
8,10000,0.990000,100.000000,1,0.044823
8,10000,0.990000,100.000000,2,0.064057
8,10000,0.990000,100.000000,3,0.080396
8,10000,0.990000,100.000000,4,0.103196
8,10000,0.990000,100.000000,5,0.115640
8,10000,0.990000,100.000000,6,0.128182
8,10000,0.990000,100.000000,7,0.147349
9,10000,0.990000,100.000000,0,0.007959
9,10000,0.990000,100.000000,1,0.033240
9,10000,0.990000,100.000000,2,0.052173
9,10000,0.990000,100.000000,3,0.059655
9,10000,0.990000,100.000000,4,0.085033
9,10000,0.990000,100.000000,5,0.090907
9,10000,0.990000,100.000000,6,0.108911
9,10000,0.990000,100.000000,7,0.123818
9,10000,0.990000,100.000000,8,0.120563
10,10000,0.990000,100.000000,0,0.007875
10,10000,0.990000,100.000000,1,0.022665
10,10000,0.990000,100.000000,2,0.040598
10,10000,0.990000,100.000000,3,0.042370
10,10000,0.990000,100.000000,4,0.053640
10,10000,0.990000,100.000000,5,0.068081
10,10000,0.990000,100.000000,6,0.100401
10,10000,0.990000,100.000000,7,0.101811
10,10000,0.990000,100.000000,8,0.111043
10,10000,0.990000,100.000000,9,0.123316
