Procs,Terms,Variable,Total,Rank,Time
1,10000,0.990000,100.000000,0,0.549771
2,10000,0.990000,100.000000,0,0.293571
2,10000,0.990000,100.000000,1,0.291596
3,10000,0.990000,100.000000,0,0.197740
3,10000,0.990000,100.000000,1,0.197956
3,10000,0.990000,100.000000,2,0.213218
4,10000,0.990000,100.000000,0,0.154032
4,10000,0.990000,100.000000,1,0.158586
4,10000,0.990000,100.000000,2,0.150031
4,10000,0.990000,100.000000,3,0.158593
5,10000,0.990000,100.000000,0,0.127309
5,10000,0.990000,100.000000,1,0.136850
5,10000,0.990000,100.000000,2,0.131929
5,10000,0.990000,100.000000,3,0.137035
5,10000,0.990000,100.000000,4,0.127398
6,10000,0.990000,100.000000,0,0.109096
6,10000,0.990000,100.000000,1,0.118340
6,10000,0.990000,100.000000,2,0.109095
6,10000,0.990000,100.000000,3,0.118742
6,10000,0.990000,100.000000,4,0.118888
6,10000,0.990000,100.000000,5,0.118608
7,10000,0.990000,100.000000,0,0.088784
7,10000,0.990000,100.000000,1,0.105364
7,10000,0.990000,100.000000,2,0.100568
7,10000,0.990000,100.000000,3,0.101204
7,10000,0.990000,100.000000,4,0.096139
7,10000,0.990000,100.000000,5,0.101124
7,10000,0.990000,100.000000,6,0.099272
8,10000,0.990000,100.000000,0,0.066916
8,10000,0.990000,100.000000,1,0.092759
8,10000,0.990000,100.000000,2,0.082789
8,10000,0.990000,100.000000,3,0.076253
8,10000,0.990000,100.000000,4,0.090703
8,10000,0.990000,100.000000,5,0.079134
8,10000,0.990000,100.000000,6,0.095974
8,10000,0.990000,100.000000,7,0.085300
9,10000,0.990000,100.000000,0,0.081151
9,10000,0.990000,100.000000,1,0.093070
9,10000,0.990000,100.000000,2,0.088809
9,10000,0.990000,100.000000,3,0.084303
9,10000,0.990000,100.000000,4,0.077236
9,10000,0.990000,100.000000,5,0.084015
9,10000,0.990000,100.000000,6,0.080680
9,10000,0.990000,100.000000,7,0.080499
9,10000,0.990000,100.000000,8,0.109100
10,10000,0.990000,100.000000,0,0.063716
10,10000,0.990000,100.000000,1,0.081695
10,10000,0.990000,100.000000,2,0.081695
10,10000,0.990000,100.000000,3,0.073102
10,10000,0.990000,100.000000,4,0.083569
10,10000,0.990000,100.000000,5,0.073366
10,10000,0.990000,100.000000,6,0.074774
10,10000,0.990000,100.000000,7,0.080056
10,10000,0.990000,100.000000,8,0.072630
10,10000,0.990000,100.000000,9,0.073401
11,10000,0.990000,100.000000,0,0.056665
11,10000,0.990000,100.000000,1,0.075689
11,10000,0.990000,100.000000,2,0.084953
11,10000,0.990000,100.000000,3,0.071696
11,10000,0.990000,100.000000,4,0.068848
11,10000,0.990000,100.000000,5,0.068509
11,10000,0.990000,100.000000,6,0.086525
11,10000,0.990000,100.000000,7,0.068930
11,10000,0.990000,100.000000,8,0.063651
11,10000,0.990000,100.000000,9,0.064980
11,10000,0.990000,100.000000,10,0.054633
12,10000,0.990000,100.000000,0,0.064875
12,10000,0.990000,100.000000,1,0.062581
12,10000,0.990000,100.000000,2,0.060840
12,10000,0.990000,100.000000,3,0.078531
12,10000,0.990000,100.000000,4,0.066231
12,10000,0.990000,100.000000,5,0.055770
12,10000,0.990000,100.000000,6,0.061616
12,10000,0.990000,100.000000,7,0.068152
12,10000,0.990000,100.000000,8,0.062682
12,10000,0.990000,100.000000,9,0.060164
12,10000,0.990000,100.000000,10,0.058253
12,10000,0.990000,100.000000,11,0.062948
13,10000,0.990000,100.000000,0,0.062780
13,10000,0.990000,100.000000,1,0.064901
13,10000,0.990000,100.000000,2,0.054104
13,10000,0.990000,100.000000,3,0.062996
13,10000,0.990000,100.000000,4,0.057085
13,10000,0.990000,100.000000,5,0.058619
13,10000,0.990000,100.000000,6,0.061154
13,10000,0.990000,100.000000,7,0.061050
13,10000,0.990000,100.000000,8,0.055585
13,10000,0.990000,100.000000,9,0.056891
13,10000,0.990000,100.000000,10,0.057686
13,10000,0.990000,100.000000,11,0.058247
13,10000,0.990000,100.000000,12,0.056349
14,10000,0.990000,100.000000,0,0.046281
14,10000,0.990000,100.000000,1,0.060307
14,10000,0.990000,100.000000,2,0.066569
14,10000,0.990000,100.000000,3,0.055382
14,10000,0.990000,100.000000,4,0.060957
14,10000,0.990000,100.000000,5,0.053365
14,10000,0.990000,100.000000,6,0.056081
14,10000,0.990000,100.000000,7,0.059685
14,10000,0.990000,100.000000,8,0.051651
14,10000,0.990000,100.000000,9,0.056763
14,10000,0.990000,100.000000,10,0.050897
14,10000,0.990000,100.000000,11,0.057569
14,10000,0.990000,100.000000,12,0.052663
14,10000,0.990000,100.000000,13,0.048531
15,10000,0.990000,100.000000,0,0.041262
15,10000,0.990000,100.000000,1,0.059269
15,10000,0.990000,100.000000,2,0.058379
15,10000,0.990000,100.000000,3,0.053319
15,10000,0.990000,100.000000,4,0.044942
15,10000,0.990000,100.000000,5,0.052686
15,10000,0.990000,100.000000,6,0.056771
15,10000,0.990000,100.000000,7,0.043086
15,10000,0.990000,100.000000,8,0.041612
15,10000,0.990000,100.000000,9,0.050601
15,10000,0.990000,100.000000,10,0.044965
15,10000,0.990000,100.000000,11,0.047204
15,10000,0.990000,100.000000,12,0.047979
15,10000,0.990000,100.000000,13,0.048056
15,10000,0.990000,100.000000,14,0.053249
16,10000,0.990000,100.000000,0,0.044489
16,10000,0.990000,100.000000,1,0.049483
16,10000,0.990000,100.000000,2,0.050376
16,10000,0.990000,100.000000,3,0.049545
16,10000,0.990000,100.000000,4,0.042092
16,10000,0.990000,100.000000,5,0.043460
16,10000,0.990000,100.000000,6,0.049928
